#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T06:09:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T06:09:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2f155%2frc3&-out=name%2caltname%2cRA2000%2cDE2000%2cT%2cD25%2cR25%2cPA%2cBT%2cAe%2cm%27e&-out.max=unlimited&BT=%3c13.5&-sort=BT	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#INFO	ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	creator=de Vaucouleurs G.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/155	    Dataset landing page
#INFO	publication_date=2002-08-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	D25	(F5.2)	? Log D25	[ucd=phys.angSize;src]
#Column	R25	(F5.2)	? Log R25 (isophotal diameter ratio)	[ucd=phys.size;arith.ratio]
#Column	PA	(I3)	? Position angle of the major axis	[ucd=pos.posAng]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	Ae	(F5.2)	? Log Ae (effective aperture)	[ucd=instr.fov]
#Column	m'e	(F5.2)	? m'e	[ucd=phot.mag.sb]
name	altname	RA2000	DE2000	T	D25	R25	PA	BT	Ae	m'e
NGC  2196   	 ESO  556-  4  	06 12 10.1	-21 48 24	 1.0	 1.45	 0.11	 35	11.82	 1.16	13.11
NGC  2787   	 UGC  4914     	09 19 18.9	+69 12 11	-1.0	 1.50	 0.19	117	11.82	 0.91	11.86
NGC  3504   	 UGC  6118     	11 03 10.8	+27 58 25	 2.0	 1.43	 0.11	   	11.82	 0.93	11.99
NGC  3613   	 UGC  6323     	11 18 36.2	+58 00 05	-5.0	 1.59	 0.32	102	11.82	 0.96	12.11
NGC  4571   	 UGC  7788     	12 36 56.7	+14 13 03	 6.5	 1.56	 0.05	 55	11.82	     	
            	 ESO  142- 19  	19 33 18.0	-58 06 50	 3.0	 1.61	 0.78	160	11.82	 1.17	
NGC  2566   	 ESO  495-  3  	08 18 45.6	-25 29 51	 2.5	 1.53	 0.17	110	11.83	 1.14	13.02
NGC  2859   	 UGC  5001     	09 24 18.9	+34 30 46	-1.0	 1.63	 0.05	 85	11.83	 1.02	12.42
NGC  3193   	 UGC  5562     	10 18 25.0	+21 53 42	-5.0	 1.48	 0.05	   	11.83	 0.95	12.07
NGC  3904   	 ESO  440- 13  	11 49 13.3	-29 16 35	-5.0	 1.43	 0.14	  8	11.83	 0.91	11.87
NGC  4212   	 UGC  7275     	12 15 39.1	+13 54 05	 4.5	 1.50	 0.21	 75	11.83	 1.08	12.65
NGC  4580   	 UGC  7794     	12 37 48.4	+05 22 09	 1.0	 1.32	 0.11	165	11.83	 0.96	
IC   5325   	 ESO  347- 18  	23 28 43.2	-41 19 58	 4.0	 1.44	 0.04	   	11.83	 1.05	12.57
NGC   596   	 MCG -1- 5-  5 	01 32 52.1	-07 01 57	-4.0	 1.51	 0.19	 30	11.84	 0.96	12.13
NGC  2950   	 UGC  5176     	09 42 36.4	+58 51 08	-2.0	 1.43	 0.18	145	11.84	 0.69	10.78
NGC  4570   	 UGC  7785     	12 36 53.3	+07 14 52	-2.0	 1.58	 0.52	159	11.84	 0.77	11.17
NGC  5713   	 UGC  9451     	14 40 11.6	-00 17 26	 4.0	 1.44	 0.05	 10	11.84	 1.03	12.48
NGC  6782   	 ESO  142-  1  	19 23 57.2	-59 55 22	 0.8	 1.34	 0.18	 45	11.84	 0.85	
IC   5273   	 ESO  346- 22  	22 59 26.7	-37 42 12	 6.0	 1.43	 0.18	 56	11.84	 1.14	12.82
NGC  7741   	 UGC 12754     	23 43 54.0	+26 04 32	 6.0	 1.64	 0.17	170	11.84	 1.33	13.83
Sextans B   	 UGC  5373     	09 59 59.9	+05 19 57	10.0	 1.71	 0.16	110	11.85	 1.48	14.74
NGC  5576   	 UGC  9183     	14 21 04.2	+03 16 14	-5.0	 1.55	 0.20	 95	11.85	 0.78	11.24
NGC  1569   	 UGC  3056     	04 30 50.3	+64 50 47	10.0	 1.56	 0.31	120	11.86	 0.94	11.96
Sextans A   	 MCG -1-26- 30 	10 11 01.3	-04 42 48	10.0	 1.77	 0.08	   	11.86	 1.69	15.43
NGC  3593   	 UGC  6272     	11 14 36.1	+12 49 07	 0.0	 1.72	 0.43	 92	11.86	 1.05	12.62
NGC  3705   	 UGC  6498     	11 30 06.8	+09 16 36	 2.0	 1.69	 0.38	122	11.86	 1.02	12.36
NGC  4267   	 UGC  7373     	12 19 45.7	+12 47 57	-3.0	 1.51	 0.03	   	11.86	 1.14	12.88
NGC  7640   	 UGC 12554     	23 22 06.7	+40 50 43	 5.0	 2.02	 0.72	167	11.86	 1.32	13.95
NGC  2974   	 MCG  0-25-  8 	09 42 33.3	-03 41 59	-5.0	 1.54	 0.23	 40	11.87	 0.91	11.91
NGC  5676   	 UGC  9366     	14 32 47.0	+49 27 27	 4.0	 1.60	 0.32	 47	11.87	 1.06	12.66
NGC  5985   	 UGC  9969     	15 39 37.8	+59 19 57	 3.0	 1.74	 0.27	 13	11.87	 1.27	13.71
NGC  6340   	 UGC 10762     	17 10 25.8	+72 18 22	 0.0	 1.51	 0.04	120	11.87	 1.15	13.11
NGC  7083   	 ESO  107- 36  	21 35 45.5	-63 54 17	 4.0	 1.59	 0.22	  5	11.87	 1.12	12.96
NGC  1511   	 ESO   55-  4  	03 59 35.8	-67 38 07	 0.7	 1.54	 0.46	125	11.88	 0.97	12.22
NGC  4041   	 UGC  7014     	12 02 12.0	+62 08 21	 4.0	 1.43	 0.03	   	11.88	     	
NGC  7412   	 ESO  290- 24  	22 55 45.3	-42 38 28	 3.0	 1.59	 0.13	 65	11.88	 1.19	13.32
NGC  3686   	 UGC  6460     	11 27 44.1	+17 13 25	 4.0	 1.51	 0.11	 15	11.89	 1.10	13.04
NGC  3885   	 ESO  440-  7  	11 46 46.6	-27 55 22	 0.0	 1.38	 0.40	123	11.89	 0.72	
NGC  4100   	 UGC  7095     	12 06 08.5	+49 34 54	 4.0	 1.73	 0.48	167	11.89	 1.17	13.21
NGC  1703   	 ESO  119- 19  	04 52 52.0	-59 44 33	 3.0	 1.47	 0.05	   	11.90	 1.19	13.32
NGC  3681   	 UGC  6445     	11 26 29.5	+16 51 51	 4.0	 1.40	 0.10	   	11.90	     	
NGC  4062   	 UGC  7045     	12 04 03.5	+31 53 41	 5.0	 1.61	 0.37	100	11.90	     	
NGC  4178   	 UGC  7215     	12 12 46.3	+10 51 49	 8.0	 1.71	 0.45	 30	11.90	     	
NGC  4373   	 ESO  322-  6  	12 25 18.6	-39 45 37	-2.9	 1.53	 0.14	 43	11.90	 0.99	12.34
NGC  4612   	 UGC  7850     	12 41 32.9	+07 18 55	-2.0	 1.39	 0.10	145	11.90	     	
NGC  4731   	 MCG -1-33- 26 	12 51 01.1	-06 23 29	 6.0	 1.82	 0.31	 95	11.90	 1.33	14.04
NGC  4900   	 UGC  8116     	13 00 39.4	+02 30 02	 5.0	 1.35	 0.03	   	11.90	 1.05	12.64
NGC  4941   	 MCG -1-33- 77 	13 04 13.1	-05 33 07	 2.0	 1.56	 0.27	 15	11.90	 1.18	13.29
NGC  4939   	 MCG -2-33-104 	13 04 14.6	-10 20 21	 4.0	 1.74	 0.29	 10	11.90	 1.21	13.45
NGC  5419   	 ESO  384- 39  	14 03 38.6	-33 58 41	-4.7	 1.62	 0.10	   	11.90	 1.16	13.22
NGC  6907   	 ESO  528-  3  	20 25 06.6	-24 48 30	 4.0	 1.52	 0.09	 46	11.90	 1.10	12.89
NGC   428   	 UGC   763     	01 12 55.2	+00 58 59	 9.0	 1.61	 0.12	120	11.91	 1.22	13.47
NGC  1317   	 ESO  357- 23  	03 22 44.7	-37 06 10	 1.0	 1.44	 0.06	 78	11.91	 0.80	11.55
A   0908-08 	 MCG -1-24-  1 	09 10 48.0	-08 54 00	 2.8	 1.63	 0.62	   	11.91	 1.14	13.10
NGC  4179   	 UGC  7214     	12 12 52.2	+01 18 00	-2.0	 1.60	 0.55	143	11.91	 0.82	11.50
NGC  4710   	 UGC  7980     	12 49 39.0	+15 09 55	-1.0	 1.69	 0.62	 27	11.91	 1.00	12.40
NGC  1400   	 ESO  548- 62  	03 39 31.3	-18 41 19	-3.0	 1.36	 0.06	 40	11.92	 0.99	12.36
NGC  5557   	 UGC  9161     	14 18 26.2	+36 29 38	-5.0	 1.36	 0.09	105	11.92	 1.00	12.41
NGC  5838   	 UGC  9692     	15 05 26.6	+02 06 01	-3.0	 1.62	 0.45	 43	11.92	 0.88	11.81
NGC  1600   	 MCG -1-12- 17 	04 31 39.9	-05 05 16	-5.0	 1.39	 0.17	 15	11.93	 1.18	13.34
NGC  2276   	 UGC  3740     	07 27 12.6	+85 45 20	 5.0	 1.45	 0.02	 20	11.93	 1.21	13.47
NGC  3513   	 ESO  502- 14  	11 03 45.7	-23 14 41	 5.0	 1.45	 0.10	 75	11.93	 1.17	13.19
NGC  5448   	 UGC  8969     	14 02 50.5	+49 10 25	 1.0	 1.60	 0.35	115	11.93	 1.38	14.32
NGC  5427   	 MCG -1-36-  3 	14 03 26.1	-06 01 53	 5.0	 1.45	 0.07	   	11.93	 1.05	12.67
NGC  4350   	 UGC  7473     	12 23 58.2	+16 41 34	-2.0	 1.48	 0.32	 28	11.94	 0.74	11.17
NGC  4496A  	 UGC  7668A    	12 31 39.3	+03 56 23	 9.0	 1.60	 0.10	 70	11.94	     	
NGC  4647   	 UGC  7896     	12 43 32.4	+11 34 56	 5.0	 1.46	 0.10	125	11.94	 0.98	12.55
NGC  7723   	 MCG -2-60-  5 	23 38 57.1	-12 57 42	 3.0	 1.54	 0.17	 40	11.94	 1.05	12.68
NGC   779   	 MCG -1- 6- 16 	01 59 42.6	-05 57 53	 3.0	 1.60	 0.53	160	11.95	 0.94	12.14
NGC  1421   	 MCG -2-10-  8 	03 42 29.5	-13 29 18	 4.0	 1.55	 0.61	  0	11.95	 1.17	13.29
NGC  3596   	 UGC  6277     	11 15 05.3	+14 47 17	 5.0	 1.60	 0.02	   	11.95	     	
NGC  1832   	 MCG -3-14- 10 	05 12 03.4	-15 41 16	 4.0	 1.41	 0.18	   	11.96	 1.03	12.60
NGC  3414   	 UGC  5959     	10 51 16.3	+27 58 33	-2.0	 1.55	 0.14	   	11.96	 0.84	11.65
NGC  4772   	 UGC  8021     	12 53 29.1	+02 10 11	 1.0	 1.53	 0.30	147	11.96	 0.90	11.48
NGC  5353   	 UGC  8813     	13 53 26.8	+40 17 03	-2.0	 1.34	 0.30	145	11.96	 0.69	11.09
NGC  1309   	 MCG -3- 9- 28 	03 22 06.6	-15 24 02	 4.0	 1.34	 0.03	   	11.97	 0.93	12.11
NGC  1366   	 ESO  418- 10  	03 33 53.3	-31 11 36	-2.0	 1.32	 0.35	  2	11.97	 0.55	
NGC  4608   	 UGC  7842     	12 41 13.6	+10 09 23	-2.0	 1.51	 0.08	   	11.97	     	
NGC  6753   	 ESO  184- 22  	19 11 23.4	-57 02 56	 3.0	 1.39	 0.06	 30	11.97	 0.91	11.92
NGC  4123   	 UGC  7116     	12 08 11.1	+02 52 40	 5.0	 1.64	 0.13	135	11.98	 1.48	14.53
NGC  5962   	 UGC  9926     	15 36 31.7	+16 36 32	 5.0	 1.47	 0.15	110	11.98	 1.02	12.57
NGC  1241   	 MCG -2- 9- 11 	03 11 14.7	-08 55 19	 3.0	 1.45	 0.22	140	11.99	 0.99	
NGC  2090   	 ESO  363- 23  	05 47 02.4	-34 15 05	 5.0	 1.69	 0.31	 13	11.99	 0.92	12.08
NGC  2139   	 ESO  488- 54  	06 01 08.1	-23 40 33	 6.0	 1.42	 0.13	140	11.99	 1.00	12.48
NGC  2964   	 UGC  5183     	09 42 53.9	+31 50 51	 4.0	 1.46	 0.26	 97	11.99	 0.93	12.13
NGC  4102   	 UGC  7096     	12 06 23.4	+52 42 41	 3.0	 1.48	 0.24	 38	11.99	     	
IC   3370   	 ESO  322- 14  	12 27 37.0	-39 20 18	-5.0	 1.46	 0.10	 45	11.99	 1.11	12.97
NGC   150   	 ESO  410- 19  	00 34 15.8	-27 48 18	 3.0	 1.59	 0.32	118	12.00	 1.00	12.49
NGC  1003   	 UGC  2137     	02 39 16.5	+40 52 22	 6.0	 1.74	 0.47	 97	12.00	     	
NGC  1374   	 ESO  358- 23  	03 35 16.7	-35 13 35	-4.5	 1.39	 0.03	   	12.00	 0.91	12.04
NGC  3100   	 ESO  435- 30  	10 00 41.2	-31 39 45	-2.0	 1.50	 0.29	154	12.00	 1.10	12.96
NGC  3224   	 ESO  375- 13  	10 21 41.5	-34 41 45	-4.0	 1.28	 0.09	133	12.00	 0.77	
NGC  3684   	 UGC  6453     	11 27 11.2	+17 01 49	 4.0	 1.49	 0.16	130	12.00	     	
NGC  4417   	 UGC  7542     	12 26 50.5	+09 35 02	-2.0	 1.53	 0.41	 49	12.00	 0.72	11.24
NGC  4448   	 UGC  7591     	12 28 15.6	+28 37 15	 2.0	 1.59	 0.44	 94	12.00	 0.91	12.04
NGC  4709   	 ESO  323-  3  	12 50 04.1	-41 22 56	-5.0	 1.38	 0.07	   	12.00	 1.34	14.17
NGC  4818   	 MCG -1-33- 57 	12 56 48.9	-08 31 32	 1.7	 1.63	 0.45	  0	12.00	 1.16	13.28
NGC  4930   	 ESO  323- 74  	13 04 04.6	-41 24 41	 3.4	 1.65	 0.08	 40	12.00	 1.34	14.20
NGC  4995   	 MCG -1-34-  7 	13 09 40.7	-07 50 01	 3.0	 1.39	 0.18	 95	12.00	 0.94	12.14
NGC  5078   	 ESO  508- 48  	13 19 50.4	-27 24 32	 1.0	 1.60	 0.31	148	12.00	 1.04	12.66
NGC  5161   	 ESO  383-  4  	13 29 14.1	-33 10 30	 5.0	 1.75	 0.41	 77	12.00	 1.24	13.73
IC   4402   	 ESO  272-  5  	14 21 13.7	-46 17 54	 3.0	 1.62	 0.69	127	12.00	     	
IC   4444   	 ESO  272- 14  	14 31 39.2	-43 25 09	 4.0	 1.24	 0.08	   	12.00	 0.91	12.04
IC   4451   	 ESO  385- 46  	14 34 37.1	-36 17 07	-4.3	 1.26	 0.21	 89	12.00	 0.93	
NGC  6215   	 ESO  137- 46  	16 51 06.5	-58 59 36	 5.0	 1.33	 0.08	 78	12.00	 0.87	11.84
NGC  7177   	 UGC 11872     	22 00 41.7	+17 44 17	 3.0	 1.49	 0.19	 90	12.01	 0.87	11.85
NGC   660   	 UGC  1201     	01 43 02.3	+13 38 40	 1.0	 1.92	 0.42	170	12.02	 1.57	14.97
NGC  7332   	 UGC 12115     	22 37 24.5	+23 47 52	-2.0	 1.61	 0.56	155	12.02	 0.69	10.96
NGC  2742   	 UGC  4779     	09 07 34.1	+60 28 46	 5.0	 1.48	 0.29	 87	12.03	 1.18	13.42
NGC  3366   	 ESO  264-  7  	10 35 08.5	-43 41 32	 3.3	 1.34	 0.31	 37	12.03	 1.06	12.82
NGC  3729   	 UGC  6547     	11 33 49.8	+53 07 37	 1.0	 1.45	 0.17	 15	12.03	     	
NGC  4217   	 UGC  7282     	12 15 50.9	+47 05 32	 3.0	 1.72	 0.53	 50	12.04	 1.26	13.91
NGC  4298   	 UGC  7412     	12 21 32.7	+14 36 25	 5.0	 1.51	 0.25	140	12.04	     	
NGC  5982   	 UGC  9961     	15 38 40.2	+59 21 22	-5.0	 1.41	 0.12	110	12.04	 0.90	12.03
NGC  7145   	 ESO  237- 13  	21 53 20.2	-47 52 57	-5.0	 1.40	 0.02	   	12.04	 0.99	12.61
NGC  7531   	 ESO  291- 10  	23 14 48.7	-43 35 56	 4.0	 1.65	 0.40	 15	12.04	 0.96	12.37
NGC   484   	 ESO  113- 36  	01 19 34.9	-58 31 28	-3.0	 1.29	 0.14	 94	12.05	 0.76	
NGC  1161   	 UGC  2474     	03 01 14.5	+44 53 51	-2.0	 1.45	 0.14	 23	12.05	 0.96	12.34
NGC  1515   	 ESO  156- 36  	04 04 03.0	-54 06 10	 4.0	 1.72	 0.67	 18	12.05	 1.00	12.55
NGC  3367   	 UGC  5880     	10 46 34.5	+13 45 09	 5.0	 1.40	 0.06	   	12.05	 1.06	12.84
NGC  4144   	 UGC  7151     	12 09 59.4	+46 27 26	 6.0	 1.78	 0.66	104	12.05	 1.20	13.54
NGC  4503   	 UGC  7680     	12 32 06.4	+11 10 42	-3.0	 1.55	 0.33	 12	12.05	 0.92	12.18
NGC  4564   	 UGC  7773     	12 36 27.0	+11 26 21	-5.0	 1.55	 0.38	 47	12.05	 0.82	11.61
NGC  5383   	 UGC  8875     	13 57 05.3	+41 50 44	 3.0	 1.50	 0.07	 85	12.05	 1.13	13.20
NGC  6943   	 ESO   74-  6  	20 44 33.0	-68 44 50	 6.0	 1.60	 0.30	130	12.05	 1.14	13.24
NGC   337   	 MCG -1- 3- 53 	00 59 50.0	-07 34 41	 7.0	 1.46	 0.20	130	12.06	 1.02	12.65
NGC  4567   	 UGC  7777     	12 36 32.8	+11 15 31	 4.0	 1.47	 0.17	 85	12.06	     	
NGC  4694   	 UGC  7969     	12 48 15.1	+10 59 07	-2.0	 1.50	 0.32	140	12.06	 1.03	12.69
NGC  5170   	 ESO  576- 65  	13 29 49.0	-17 57 59	 5.0	 1.92	 0.91	127	12.06	 1.33	14.20
NGC  6814   	 MCG -2-50-  1 	19 42 40.7	-10 19 25	 4.0	 1.48	 0.03	   	12.06	 1.14	13.25
IC   4889   	 ESO  185- 14  	19 45 15.9	-54 20 37	-5.0	 1.46	 0.24	  0	12.06	 0.87	11.90
NGC  7252   	 ESO  533- 15  	22 20 44.9	-24 40 41	-2.0	 1.29	 0.08	   	12.06	 0.69	
IC   1727   	 UGC  1249     	01 47 30.7	+27 19 51	 9.0	 1.84	 0.35	150	12.07	 1.49	15.01
NGC  2300   	 UGC  3798     	07 32 19.6	+85 42 32	-2.0	 1.45	 0.14	   	12.07	 1.02	12.66
NGC  6925   	 ESO  463-  4  	20 34 20.9	-31 58 50	 4.0	 1.65	 0.56	  5	12.07	 1.00	12.56
NGC  7377   	 ESO  534- 26  	22 47 47.5	-22 18 45	-1.0	 1.47	 0.08	101	12.07	 1.09	13.01
NGC  4419   	 UGC  7551     	12 26 56.9	+15 02 52	 1.0	 1.52	 0.47	133	12.08	 0.91	12.09
NGC  5792   	 UGC  9631     	14 58 22.8	-01 05 24	 3.0	 1.84	 0.60	 84	12.08	 1.11	13.12
NGC  6848   	 ESO  185- 52  	20 02 47.0	-56 05 18	 0.5	 1.39	 0.38	157	12.08	 0.91	
NGC  7599   	 ESO  347- 34  	23 19 20.9	-42 15 23	 5.0	 1.64	 0.51	 57	12.08	 1.14	13.15
NGC  1022   	 MCG -1- 7- 25 	02 38 32.8	-06 40 41	 1.0	 1.38	 0.08	115	12.09	 0.96	12.38
NGC  1386   	 ESO  358- 35  	03 36 46.4	-35 59 58	-0.6	 1.53	 0.42	 25	12.09	 0.88	11.98
NGC  3672   	 MCG -2-29- 28 	11 25 02.4	-09 47 43	 5.0	 1.62	 0.33	 12	12.09	 1.08	12.98
NGC  4461   	 UGC  7613     	12 29 03.0	+13 11 08	-1.0	 1.55	 0.39	  9	12.09	 0.91	12.04
NGC  7041   	 ESO  235- 82  	21 16 32.6	-48 21 51	-2.7	 1.56	 0.39	 85	12.09	 0.90	12.08
NGC  7457   	 UGC 12306     	23 00 59.9	+30 08 39	-3.0	 1.63	 0.27	130	12.09	 1.03	12.75
NGC  1596   	 ESO  157- 31  	04 27 37.8	-55 01 37	-2.0	 1.57	 0.59	 20	12.10	 0.73	11.24
NGC  2935   	 ESO  565- 23  	09 36 44.7	-21 07 42	 3.0	 1.56	 0.11	  0	12.10	 1.07	12.94
NGC  3137   	 ESO  435- 47  	10 09 07.4	-29 03 51	 6.3	 1.80	 0.45	  1	12.10	     	
NGC  4340   	 UGC  7467     	12 23 35.5	+16 43 29	-1.0	 1.55	 0.10	102	12.10	 1.10	13.05
NGC  4645B  	 ESO  322- 60  	12 43 31.5	-41 21 43	-2.2	 1.28	 0.42	154	12.10	 0.96	
NGC  4795   	 UGC  8037     	12 55 03.2	+08 04 01	 0.5	 1.27	 0.07	115	12.10	 0.80	
IC   3896   	 ESO  219- 12  	12 56 44.0	-50 20 43	-5.0	 1.40	 0.12	 10	12.10	 1.16	13.39
NGC  4845   	 UGC  8078     	12 58 01.4	+01 34 31	 2.0	 1.70	 0.58	 89	12.10	 1.12	13.21
NGC  5395   	 UGC  8900     	13 58 38.3	+37 25 32	 3.0	 1.46	 0.27	167	12.10	 1.21	13.59
            	 ESO  221- 26  	14 08 23.6	-47 58 13	-4.6	 1.45	 0.21	  1	12.10	 0.84	11.79
Circinus    	 ESO   97- 13  	14 13 09.8	-65 20 18	 3.0	 1.84	 0.36	 40	12.10	 1.07	12.96
NGC  6438   	 ESO   10-  1  	18 22 15.7	-85 24 04	-2.0	 1.20	 0.07	   	12.10	     	
NGC  7329   	 ESO  109- 12  	22 40 23.5	-66 28 44	 3.0	 1.59	 0.17	107	12.10	 1.32	14.21
NGC  7619   	 UGC 12523     	23 20 14.7	+08 12 23	-5.0	 1.40	 0.04	 30	12.10	 1.09	13.04
NGC  3756   	 UGC  6579     	11 36 48.5	+54 17 46	 4.0	 1.62	 0.30	177	12.11	     	
NGC  4168   	 UGC  7203     	12 12 16.5	+13 12 24	-5.0	 1.44	 0.08	   	12.11	 0.98	12.61
NGC  7590   	 ESO  347- 33  	23 18 55.0	-42 14 17	 4.0	 1.43	 0.42	 36	12.11	 0.89	11.97
NGC  2685   	 UGC  4666     	08 55 35.2	+58 44 02	-1.0	 1.65	 0.28	 38	12.12	 1.03	12.73
NGC  3190   	 UGC  5559     	10 18 05.7	+21 49 59	 1.0	 1.64	 0.45	125	12.12	 0.85	11.74
NGC  4742   	 MCG -2-33- 32 	12 51 48.1	-10 27 18	-5.0	 1.42	 0.25	 75	12.12	     	
NGC  6861   	 ESO  233- 32  	20 07 19.2	-48 22 12	-3.0	 1.45	 0.19	140	12.12	 0.77	11.46
NGC  3091   	 ESO  566- 41  	10 00 13.9	-19 38 14	-5.0	 1.47	 0.20	149	12.13	 1.04	12.90
NGC  3175   	 ESO  436-  3  	10 14 42.4	-28 52 20	 1.0	 1.70	 0.57	 56	12.13	 1.14	13.28
NGC  3738   	 UGC  6565     	11 35 48.8	+54 31 22	10.0	 1.40	 0.12	155	12.13	     	
NGC  4638   	 UGC  7880     	12 42 47.7	+11 26 35	-3.0	 1.35	 0.21	125	12.13	 0.77	11.39
NGC  2188   	 ESO  364- 37  	06 10 09.6	-34 06 22	 9.0	 1.64	 0.59	175	12.14	 1.13	13.28
NGC  2776   	 UGC  4838     	09 12 15.0	+44 57 20	 5.0	 1.48	 0.05	   	12.14	 1.05	12.88
NGC  3078   	 ESO  499- 27  	09 58 24.5	-26 55 34	-5.0	 1.40	 0.08	177	12.14	 0.88	12.03
NGC  4346   	 UGC  7463     	12 23 28.0	+46 59 39	-2.0	 1.52	 0.42	 99	12.14	     	
NGC  4866   	 UGC  8102     	12 59 27.4	+14 10 15	-1.0	 1.80	 0.67	 87	12.14	 1.02	12.66
NGC  5134   	 ESO  576- 52  	13 25 19.0	-21 08 00	 3.0	 1.44	 0.22	155	12.14	 1.04	12.83
NGC  5638   	 UGC  9308     	14 29 40.5	+03 14 04	-5.0	 1.43	 0.05	150	12.14	 0.97	12.48
            	 ESO  194- 21  	00 29 42.3	-51 31 07	-3.0	 1.17	 0.06	112	12.15	 0.72	
IC   1954   	 ESO  200- 36  	03 31 31.8	-51 54 16	 3.0	 1.50	 0.31	 66	12.15	 0.98	12.54
NGC  3256   	 ESO  263- 38  	10 27 51.5	-43 54 20	99.0	 1.58	 0.25	100	12.15	 0.80	11.64
NGC  4157   	 UGC  7183     	12 11 04.9	+50 29 10	 3.0	 1.83	 0.70	 66	12.15	 1.07	13.06
NGC  5350   	 UGC  8810     	13 53 21.6	+40 21 48	 3.0	 1.50	 0.14	 40	12.15	 0.98	12.95
NGC  1560   	 UGC  3060     	04 32 50.0	+71 52 52	 7.0	 1.99	 0.76	 23	12.16	 1.41	14.70
NGC  4138   	 UGC  7139     	12 09 30.8	+43 41 16	-1.0	 1.41	 0.18	150	12.16	 0.81	11.70
NGC  4660   	 UGC  7914     	12 44 32.4	+11 11 27	-5.0	 1.34	 0.13	100	12.16	 0.61	10.73
NGC  6207   	 UGC 10521     	16 43 04.4	+36 49 59	 5.0	 1.47	 0.36	 15	12.16	 0.86	11.94
NGC  7626   	 UGC 12531     	23 20 42.4	+08 13 02	-5.0	 1.42	 0.05	   	12.16	 1.11	13.20
NGC  1567   	 ESO  202- 10  	04 21 08.7	-48 15 16	-5.0	 1.13	 0.02	   	12.17	 0.83	
NGC  3347   	 ESO  376- 13  	10 42 46.4	-36 21 14	 3.0	 1.56	 0.24	173	12.17	 0.93	12.42
NGC  3348   	 UGC  5875     	10 47 10.0	+72 50 27	-5.0	 1.31	 0.01	   	12.17	 0.94	12.36
NGC  3027   	 UGC  5316     	09 55 39.5	+72 12 13	 7.0	 1.63	 0.33	130	12.18	 1.43	14.82
NGC  3250   	 ESO  317- 26  	10 26 32.4	-39 56 36	-5.0	 1.45	 0.14	148	12.18	 0.91	12.22
NGC  4124   	 UGC  7117     	12 08 09.2	+10 22 45	-1.0	 1.63	 0.48	114	12.18	 1.05	12.99
NGC    24   	 ESO  472- 16  	00 09 56.6	-24 57 43	 5.0	 1.76	 0.63	 46	12.19	 1.12	13.28
NGC  1249   	 ESO  155-  6  	03 10 02.6	-53 20 04	 6.0	 1.69	 0.32	 86	12.19	 1.15	13.43
            	 ESO  208- 21  	07 33 56.6	-50 26 31	-3.0	 1.47	 0.15	110	12.19	 0.93	12.33
NGC  2549   	 UGC  4313     	08 18 58.4	+57 48 11	-2.0	 1.59	 0.48	177	12.19	 0.76	11.48
NGC  3318   	 ESO  317- 52  	10 37 15.7	-41 37 42	 3.0	 1.38	 0.28	 78	12.19	 1.08	13.08
NGC  3449   	 ESO  376- 25  	10 52 53.1	-32 55 34	 2.0	 1.52	 0.54	148	12.19	 0.66	
NGC  4013   	 UGC  6963     	11 58 31.7	+43 56 48	 3.0	 1.72	 0.71	 66	12.19	 1.27	14.06
NGC  4713   	 UGC  7985     	12 49 58.1	+05 18 39	 7.0	 1.43	 0.20	100	12.19	 1.03	12.68
NGC  5812   	 MCG -1-38- 16 	15 00 55.8	-07 27 29	-5.0	 1.33	 0.06	   	12.19	 0.93	12.33
NGC  6725   	 ESO  183- 36  	19 01 56.3	-53 51 53	-2.0	 1.34	 0.66	 40	12.19	 0.75	
